id,title,artist,uri
1,Ditto,NewJeans,spotify:track:3r8RuvgbX9s7ammBn07D3W
2,Butter,BTS,spotify:track:2bgTY4UwhfBYhGT4HUYStN
3,LAST DANCE,BIGBANG,spotify:track:4jVXIuzMvB1wOaUikA8yvD
4,Supernova,aespa,spotify:track:5tEaVciE2GnRGiNOqjcCGO
5,Magnetic,ILLIT,spotify:track:11ZulcYY4lowvcQm4c5Q0E
6,Hype Boy,NewJeans,spotify:track:0a4MMyCrRQgWEQIGEWNeI0
7,Dynamite,BTS,spotify:track:4saklk6nie3vwHxP042iL1
8,How Sweet,NewJeans,spotify:track:2L95oKk3hA2y42mR78gR18
9,Cupid - Twin Ver.,FIFTY FIFTY,spotify:track:7FbrGaHYVDmfrR4P23t4R4
10,OMG,NewJeans,spotify:track:65FftemJ1DbbZ45DUf08w6
